,,,,,INFORMACIÓN DEL CLIENTE,,,,,,,,,,,,,
ESTADO DE LA OPERACIÓN,,,,,,,Permanencia,,,,,,,,,,,
Identificación,,Días de,Estado de,,Actividad,Saldo de la,en la,Número de,Monto del,Tasa de,Ingreso,,Frecuencia,Dependencia,Tipo de,Profesión del,Bienes,
del crédito,Saldo vigente,atraso,crédito,,económica,cuota,vivienda,cuotas,crédito,interés,mensual,Sexo,de pago,ocupacional,cuota,cliente,raíces,Automóviles
1,"21437,57 ",16,0,,10,277.09,18,24,35000,"25,5","1322,00",1,1,1,2,4,0,0
2,"31296,89 ",0,0,,10,152.96,36,60,35000,"25,5","511,72",2,1,1,2,3,0,0
3,"15967,01 ",0,0,,6,239.06,60,12,17000,"25,5","784,10",2,1,2,2,4,0,0
4,"18110,20 ",0,0,,6,118.18,14,36,21000,22,"859,67",1,1,2,2,4,0,0
5,"4343,25 ",110,1,,6,58.12,280,24,7000,32,"320,17",1,1,2,2,2,0,0
6,"4343,25 ",110,1,,6,58.12,300,24,7000,32,"340,20",1,1,2,2,2,0,0
7,"4343,25 ",110,1,,6,58.12,276,24,7000,32,"339,83",1,1,2,2,2,0,0
8,"34292,59 ",0,0,,8,223.51,24,36,41000,"19,5","861,00",1,1,2,2,5,0,1
9,"22839,28 ",0,0,,8,112.99,36,48,23000,"25,5","282,83",1,1,2,2,5,0,1
10,"10608,15 ",0,0,,6,158.83,60,24,20000,"25,5","494,20",2,1,2,2,4,0,0
11,"1360,27 ",0,0,,8,120.19,60,36,3000,"21,83","482,07",1,1,2,2,4,0,0
12,"28706,80 ",0,0,,6,272.64,60,36,49000,21,"879,34",1,1,2,2,4,0,1
13,"32831,62 ",0,0,,10,183.7,228,53,"45675,2","21,6","712,86",2,1,1,2,3,0,0
14,"17727,50 ",0,0,,6,166.61,24,24,21000,"25,5","563,07",2,1,2,2,4,0,0
15,"1086,65 ",0,0,,6,191.55,12,36,5200,"13,12","535,15",1,1,2,2,4,0,0
16,"40338,50 ",0,0,,8,227.98,240,36,42000,20,"652,00",1,1,2,2,4,0,1
17,"2879,30 ",261,1,,3,157.93,120,36,4000,24,"876,06",1,1,2,2,4,0,1
18,"9899,26 ",0,0,,8,111.43,12,36,19500,23,"598,84",1,1,1,2,5,0,1
19,"10889,96 ",228,1,,8,160.93,12,24,21000,23,"423,46",1,1,2,2,5,0,1
20,"1700,20 ",0,0,,8,85.79,12,24,11000,25,"408,84",1,1,2,2,5,0,1
21,"14000,00 ",0,0,,6,114.94,36,24,14000,29,"538,75",1,1,2,2,4,0,0
22,"15000,00 ",0,0,,6,93.37,12,36,15000,29,"1297,02",2,1,2,2,4,0,0
23,"40866,73 ",192,1,,10,186.57,12,48,42000,20,"780,20",1,1,2,2,5,0,1
24,"34602,70 ",113,1,,6,151.45,216,60,35200,"25,5","5580,00",1,1,2,2,4,0,0
25,"34602,70 ",113,1,,6,151.45,120,60,35200,"25,5","530,00",1,1,2,2,4,0,0
26,"9361,95 ",0,0,,10,88.96,240,36,14000,32,"455,75",1,1,2,2,4,0,0
27,"31103,65 ",0,0,,8,221.94,36,36,41000,"19,5","848,00",1,1,2,2,5,0,1
28,"11763,94 ",0,0,,6,104.8,340,36,18000,24,"939,09",1,1,2,2,4,0,1
29,"4791,57 ",0,0,,6,181.36,60,36,33600,"16,53","868,25",1,1,2,2,2,1,0
30,"4791,57 ",0,0,,6,181.36,36,36,33600,"16,53","1100,00",1,1,2,2,2,0,0
31,"1197,87 ",0,0,,6,45.34,60,36,8400,"15,26","868,25",1,1,2,2,2,1,0
32,"1197,87 ",0,0,,6,45.34,36,36,8400,"15,26","1100,00",1,1,2,2,2,0,0
33,"15190,99 ",0,0,,8,160.69,60,36,28500,22,"408,84",1,1,2,2,5,0,1
34,"98697,48 ",0,0,,6,550.45,60,36,103000,19,"6243,70",1,1,2,2,4,0,1
35,"1429,66 ",0,0,,6,194.34,132,36,5000,"15,92","3657,67",2,1,2,2,4,0,0
36,"2504,94 ",0,0,,6,385.3,36,36,10000,"15,92","2469,09",2,1,2,2,4,0,0
37,"4393,93 ",0,0,,3,98.59,14,36,17200,"20,88","2028,23",1,1,2,2,5,0,0
38,"1098,41 ",0,0,,3,24.65,14,36,4300,"19,61","2028,23",1,1,2,2,5,0,0
39,"14350,67 ",0,0,,10,116.31,60,30,18000,22,"347,80",1,1,1,2,3,0,0
40,"14350,67 ",0,0,,10,116.31,120,30,18000,22,"154,00",1,1,1,2,3,0,0
41,"14350,67 ",0,0,,10,116.31,12,30,18000,22,"267,15",1,1,1,2,3,0,0
42,"34021,80 ",0,0,,6,274.81,180,24,35000,"25,5","1062,00",1,1,2,2,4,0,0
43,"33136,36 ",0,0,,8,222.28,24,36,41000,"19,5","861,00",1,1,2,2,5,0,1
44,"9304,94 ",136,1,,6,117.15,96,24,14000,32,"751,00",1,1,2,2,4,0,0
45,"9145,43 ",0,0,,3,83.78,24,36,13000,32,"290,34",1,1,1,2,3,0,0
46,"9145,43 ",0,0,,3,83.78,12,36,13000,32,"238,63",1,1,1,2,3,0,0
47,"758,97 ",0,0,,5,57.06,120,24,7000,"25,75","319,23",1,1,2,2,4,0,0
48,"15060,59 ",0,0,,8,159.32,36,24,20900,22,"897,00",1,1,2,2,5,0,1
49,"15060,59 ",0,0,,8,159.32,24,24,20900,22,"408,00",1,1,2,2,4,0,0
